library_name,briggs_srr
S16_1_1,SRR7061452
S16_1_2,SRR7061453
S16_1_3,SRR7061454
S18_2_1,SRR7061459
S18_2_2,SRR7061460
S18_2_3,SRR7061461
S20_2_1,SRR7061467
S20_2_2,SRR7061468
S20_2_3,SRR7061469
S22_1_1,SRR7061476
S22_1_2,SRR7061477
S22_1_3,SRR7061478
S22_1_4,SRR7061479
S22_1_5,SRR7061480
S22_1_6,SRR7061481
S22_1_7,SRR7061482
S22_2_1,SRR7061483
S22_2_2,SRR7061484
S22_2_3,SRR7061485
S22_2_4,SRR7061486
S22_2_5,SRR7061487
S22_2_6,SRR7061488
S22_2_7,SRR7061489
